,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAYER NAME,,,CLAN NAME,,,TOTAL APPEARANCE,,,PERFORMANCE ( KILLS ),,,,,,,,,,,,,,,
RANK,PROFESSIONAL,IN - GAME,,TEAM NAME,CLAN ,,MATCHES,EVENTS,,PER MATCH,PER EVENTS,TOTAL KILLS,,,,,,,,,,,,,
116,BENMISH,HEHEHEHE,,HEXLINE ELITES,,,2,1,,3.5,7,7,,,,,,,,,,,,,
117,JOKER,OLUJOKES,,RAZE MATRIX,,,3,1,,2.333333333,7,7,,,,,,,,,,,,,
118,EMPEROR ,EMPEROR,,DFL,DON'T FORGET LOYALTY,,4,2,,1.5,3,6,,,,,,,,,,,,,
119,WAVENVILLA,WAVEN,,AGILE RESURGENCE,AGILE ESPORT,,3,1,,2,6,6,,,,,,,,,,,,,
120,UNKOWNM.OP,ANGRY SXUL,,ANGRYMEN CARTEL,,,2,2,,3,3,6,,,,,,,,,,,,,
121,MERA,MERA,,WICKED ENTITIES,,,5,2,,1,2.5,5,,,,,,,,,,,,,
122,TULA,VAMOS,,KYZON ALLIANCE,,,3,1,,1.333333333,4,4,,,,,,,,,,,,,
123,CPT BIGGIE,BIGGIE_MC,,PREACHER ESPORT,,,3,1,,1,3,3,,,,,,,,,,,,,
124,FOCUS,FOCUS,,4KT SHADOW HUNTERS,,,1,1,,3,3,3,,,,,,,,,,,,,
125,5DAYS,FIVEDAYS,,INTEL ESPORT,,,2,1,,1,2,2,,,,,,,,,,,,,
126,CHOCO,ANGRY CHOCO,,ANGRYMEN CARTEL,,,2,1,,1,2,2,,,,,,,,,,,,,
127,WAGWAN,MILLITANT,,KYZON ALLIANCE,,,3,2,,0.333333333,0.5,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
